aX,aY,aZ,gX,gY,gZ
-0.02,-0.831,-1.72,-0.397,-1.861,-0.519
-2.613,-0.126,0.018,-0.532,-2.073,-0.243
0.476,-1.264,-1.305,-0.213,-1.226,-0.054
-0.927,-0.39,0.059,0.013,-0.399,0.153
-0.087,-1.002,-0.709,-0.166,-0.777,-0.043
0.966,-0.782,-0.388,0.231,0.124,0.222
-0.911,-0.233,0.267,0.151,0.205,0.259
0.271,-0.292,-0.198,0.285,0.298,0.155
-0.075,-0.189,0.605,0.258,0.529,0.404
-0.436,-0.217,0.129,0.241,0.463,0.274
-0.949,0.59,0.579,0.211,0.41,0.22
-0.899,0.232,0.231,0.1,0.228,0.139
-0.575,0.46,0.253,0.035,0.115,0.171
-0.879,0.563,0.209,0.038,0.201,0.119
-1.045,0.806,0.473,-0.077,0.263,0.047
-0.627,0.552,-0.172,-0.139,0.123,0.081
-1.122,0.782,0.029,-0.101,0.171,0.038
-0.845,0.658,-0.163,-0.142,0.045,-0.002
-0.707,0.821,0.132,-0.039,0.229,0.022
-0.928,0.818,0.063,-0.245,0.031,-0.046
-0.648,0.549,-0.399,-0.075,0.144,0.004
-0.679,0.96,0.365,-0.107,0.108,0.011
-0.467,0.576,-0.441,-0.218,0.086,0.003
-0.693,0.827,-0.323,0.06,0.114,0.069
-0.567,0.952,0.102,0.075,0.087,0.113
-0.555,0.91,0.041,0.062,0.244,0.096
-0.822,1.216,0.104,0.005,0.074,0.132
-0.718,1.065,-0.147,-0.034,0.007,0.064
-0.397,1.312,0.029,0.068,0.189,0.098
-1.174,1.304,0.095,-0.075,0.054,0.037
-0.614,1.298,0.001,0.029,0.038,0.025
-0.436,1.282,0.283,0.043,0.174,0.013
-0.514,1.404,0.344,-0.036,0.099,0.006
-0.254,1.471,0.302,0.092,0.171,0.052
-1.736,1.891,1.281,-0.192,0.106,-0.013
-0.093,1.194,-0.198,-0.214,-0.069,-0.008
-0.523,1.708,0.305,0.022,0.305,0.031
-0.831,1.73,-0.22,-0.213,0.101,0
-0.296,1.55,-0.152,-0.112,0.235,0.035
-0.866,1.799,0.031,-0.245,0.196,0.022
-0.409,1.372,0.397,-0.233,0.154,0.031
-0.983,1.675,0.753,-0.158,0.171,0.013
-0.474,1.437,0.142,-0.248,0.003,-0.031
-0.703,1.636,0.541,-0.138,0.134,-0.051
-0.423,1.538,-0.23,-0.249,0.003,-0.063
-0.213,1.593,-0.212,-0.141,0.201,-0.022
-1.057,1.723,0.305,-0.305,-0.005,-0.025
0.265,1.12,0.193,-0.118,0.185,-0.011
-1.088,1.727,0.188,-0.162,0.196,-0.028
-0.019,1.268,-0.012,-0.212,0.01,-0.054
-0.415,1.518,-0.034,-0.067,0.304,-0.006
-0.539,1.545,0.018,-0.261,-0.046,-0.03
-0.128,1.326,0.123,-0.059,0.279,-0.004
-1.064,1.703,0.041,-0.204,0.078,-0.03
-0.101,1.332,0.035,-0.177,0.048,-0.01
-0.451,1.519,0.14,-0.143,0.247,-0.008
-0.487,1.488,-0.042,-0.191,0.1,-0.005
-0.255,1.434,0.201,-0.139,0.234,-0.008
-0.719,1.551,-0.025,-0.205,0.138,-0.015
-0.371,1.298,0.249,-0.179,0.097,-0.002
-0.51,1.422,0.245,-0.116,0.248,-0.013
-0.572,1.465,-0.158,-0.163,0.1,-0.019
-0.346,1.402,0.273,-0.11,0.148,-0.011
-0.669,1.557,0.101,-0.145,0.189,-0.016
-0.393,1.463,-0.055,-0.176,0.086,-0.013
-0.382,1.454,0.239,-0.16,0.191,-0.019
-0.686,1.535,-0.059,-0.205,0.106,-0.018
-0.298,1.349,0.224,-0.196,0.108,-0.013
-0.554,1.453,0.17,-0.148,0.233,-0.017
-0.565,1.486,-0.089,-0.202,0.066,-0.022
-0.46,1.391,0.352,-0.135,0.192,-0.008
-0.715,1.524,-0.022,-0.165,0.147,-0.027
-0.309,1.389,0.14,-0.165,0.086,-0.014
-0.51,1.41,0.174,-0.135,0.243,-0.017
-0.711,1.537,-0.098,-0.184,0.09,-0.015
-0.373,1.386,0.244,-0.162,0.156,-0.013
-0.685,1.478,0.036,-0.168,0.162,-0.013
-0.485,1.416,0.121,-0.168,0.068,-0.011
-0.338,1.313,0.309,-0.14,0.185,-0.017
-0.609,1.488,-0.139,-0.156,0.119,-0.018
-0.238,1.38,0.157,-0.144,0.129,-0.018
-0.636,1.447,0.19,-0.158,0.183,-0.015
-0.614,1.448,-0.035,-0.175,0.071,-0.019
-0.451,1.448,0.204,-0.148,0.173,-0.013
,,,,,
-2.267,2.211,-1.003,0.273,2.312,0.25
-2.743,2.218,-1.385,0.248,2.289,0.248
-3.941,1.921,-0.883,0.236,2.209,0.205
-3.664,2.084,-0.375,-0.164,1.613,-0.086
-4.019,1.628,-0.942,-0.184,1.693,-0.027
-4.84,1.578,-1.393,0.268,2.844,0.171
-7.345,2.52,-1.298,0.019,1.93,-0.026
-5.885,1.876,-2.588,-0.023,2.26,-0.07
-8.167,2.467,-3.005,0.02,1.83,-0.102
-4.76,1.482,-5.005,0.066,1.584,-0.177
-7.736,2.684,-4.52,0.563,2.299,0.396
-6.685,2.332,-4.922,0.2,1.681,0.198
-8.029,2.474,-5.573,0.385,2.087,0.42
-8.709,3.049,-6.023,0.283,1.496,0.431
-7.955,2.916,-6.563,0.315,1.287,0.376
-9.954,3.484,-6.56,0.379,1.54,0.525
-10.039,3.724,-6.657,-0.053,0.491,0.221
-9.09,3.511,-7.232,-0.283,-0.136,-0.102
-9.973,3.557,-6.934,-0.211,-0.02,0.01
-11.453,4.184,-6.322,-0.637,-1.16,-0.456
-9.41,3.451,-6.631,-1.079,-2.914,-1.087
-7.432,2.079,-5.624,-0.881,-3.365,-1.002
-4.796,1.713,-4.034,-0.58,-1.86,-0.431
-6.395,1.708,-3.402,-0.195,-0.761,0.104
-6.931,2.407,-2.834,-0.229,-0.826,-0.037
-7.169,2.03,-2.411,-0.588,-1.471,-0.197
-5.573,1.932,-2.291,-0.72,-1.935,-0.342
-4.284,1.098,-2.089,-0.446,-1.149,-0.131
-4.629,1.414,-1.384,-0.314,-1.933,0.002
-2.963,0.864,-0.895,-0.43,-1.212,-0.054
-4.359,1.61,-0.79,-0.621,-2.008,-0.152
-0.792,0.395,-0.935,-0.441,-1.044,-0.074
-2.559,0.9,-0.65,-0.357,-1.027,0.035
-0.569,0.429,-0.606,-0.068,-0.533,0.135
-1.719,1.164,0.215,-0.085,-0.262,0.095
-0.764,0.608,-0.51,-0.155,-0.508,0.001
-0.627,0.97,0.19,0.165,0.139,0.132
-1.284,0.99,-0.663,0.079,-0.145,0.13
-0.566,1.04,0.066,0.518,0.178,0.064
