aX,aY,aZ,gX,gY,gZ
-1.61,-1.195,-0.303,-0.079,-0.016,-0.017
-1.759,-1.241,-0.211,0.006,0.032,-0.013
-1.548,-1.202,-0.399,-0.053,0.015,-0.018
-1.653,-1.319,-0.17,-0.05,0.004,-0.011
-1.557,-1.24,-0.314,-0.026,0.021,-0.013
-1.577,-1.182,-0.302,-0.075,-0.013,-0.014
-1.638,-1.234,-0.242,-0.034,0.018,-0.015
-1.547,-1.229,-0.296,-0.072,-0.001,-0.014
-1.559,-1.352,-0.218,-0.035,0.047,-0.013
,,,,,
0.717,-3.266,-1.459,-0.715,-0.859,-0.175
1.077,-3.29,-1.539,-0.699,-0.723,-0.148
0.979,-3.316,-1.099,-0.741,-0.092,-0.132
-0.472,-3.654,-1.21,-1.224,-0.62,-0.332
1.537,-3.909,-1.905,-1.232,-0.69,-0.236
1.203,-4.502,-1.302,-1.433,-0.152,-0.245
1.957,-4.07,-1.008,-2.119,0.263,-0.164
1.211,-6.906,-3.941,-1.948,0.423,-0.028
1.949,-6.701,-3.901,-1.216,0.569,0.131
0.389,-7.708,-4.618,-1.142,0.494,0.018
1.385,-7.417,-4.533,-0.593,0.156,-0.002
0.948,-8.015,-4.937,-0.449,0.255,0.041
1.49,-7.338,-4.799,0.077,-0.101,-0.069
0.921,-7.174,-3.689,-0.157,0.326,0.143
0.676,-7.921,-4.612,0.142,0.112,-0.022
1.346,-6.905,-3.47,-0.037,0.09,0.08
0.462,-8.036,-4.338,0.047,0.074,0.02
0.915,-6.631,-3.16,0.127,-0.055,0.112
0.079,-7.737,-3.747,-0.097,0.035,0.025
0.99,-6.743,-3.703,0.111,0.023,0.073
0.051,-7.465,-3.522,-0.122,0.118,0.044
0.573,-7.633,-3.964,0.114,0.063,-0.019
0.448,-7.275,-3.004,-0.074,0.106,0.046
0.437,-7.855,-4.055,-0.033,0.066,0.01
0.409,-6.784,-3.144,0.103,0.124,0.055
0.261,-7.642,-3.65,-0.107,0.078,-0.002
0.435,-6.979,-3.405,0.104,0.096,0.057
0.146,-7.216,-3.427,-0.089,0.107,0.024
